Complaint,Department
Floor needs mopping in Lab 1.,Cleaning
Loose electrical wiring in Room 204.,Electrical
Wall has cracks in Block A.,Maintenance
Bus pass issue in First Floor.,Others
Lab equipment is faulty in Room 101.,ECE
Library internet not working in Lab 2.,Library
Library computer not working in Room 204.,Library
Keyboard not working in Room 204.,CSE
Tube light not working in Admin Block.,Electrical
Fan is not working in Admin Block.,Electrical
Library internet not working in First Floor.,Library
Printer not working in Admin Block.,CSE
Hall ticket not generated in Lab 1.,Others
Hostel WiFi not working in First Floor.,Hostel
Washroom needs cleaning in First Floor.,Cleaning
Power socket not working in Room 101.,Electrical
Lab equipment is faulty in Block B.,ECE
Tap is leaking in Admin Block.,Maintenance
Insufficient seating in library in Room 204.,Library
Loose electrical wiring in Block B.,Electrical
Library computer not working in Block A.,Library
Software installation required in Block A.,CSE
Fan is not working in Second Floor.,Electrical
Library AC not working in Block A.,Library
Switch board is damaged in Room 101.,Electrical
Book return portal not working in Second Floor.,Library
Digital trainer board failed in Room 204.,ECE
Breadboard is damaged in Block A.,ECE
Mess food quality is poor in Block A.,Hostel
No water supply in hostel in Lab 1.,Hostel
Oscilloscope not working in First Floor.,ECE
General enquiry not resolved in Lab 1.,Others
General enquiry not resolved in Admin Block.,Others
Insufficient seating in library in Second Floor.,Library
Software installation required in Room 101.,CSE
Light is flickering in Room 101.,Electrical
System is running very slow in First Floor.,CSE
Insufficient seating in library in Admin Block.,Library
Tap is leaking in Room 101.,Maintenance
Fan is not working in First Floor.,Electrical
Window glass is broken in Admin Block.,Maintenance
No water supply in hostel in Second Floor.,Hostel
Arduino board not detected in Admin Block.,ECE
Bad smell in corridor in Room 101.,Cleaning
Floor needs mopping in Block A.,Cleaning
Arduino board not detected in Admin Block.,ECE
Roof seepage issue in Block B.,Maintenance
Power outage in classroom in First Floor.,Electrical
Reading room is noisy in Lab 1.,Library
Plumbing problem in Admin Block.,Maintenance
Scholarship not received in Block A.,Others
Insufficient seating in library in Admin Block.,Library
Classroom is very dirty in Second Floor.,Cleaning
Bus pass issue in Room 204.,Others
Power socket not working in Block A.,Electrical
Scholarship not received in First Floor.,Others
Generator backup failed in Room 101.,Electrical
Breadboard is damaged in Lab 1.,ECE
Lab equipment is faulty in Admin Block.,ECE
Dustbins are overflowing in Room 101.,Cleaning
Bad smell in corridor in Room 101.,Cleaning
Floor needs mopping in Second Floor.,Cleaning
Website login problem in Room 204.,Others
Bonafide certificate delayed in Second Floor.,Others
Digital trainer board failed in Second Floor.,ECE
Signal generator issue in Room 204.,ECE
Bathroom is dirty in Second Floor.,Hostel
Signal generator issue in Admin Block.,ECE
Fan is not working in Admin Block.,Electrical
Tube light not working in Lab 1.,Electrical
Door lock is broken in Lab 1.,Maintenance
Room lock is broken in Block B.,Hostel
Classroom is very dirty in Room 101.,Cleaning
Switch board is damaged in Lab 2.,Electrical
Power socket not working in Block B.,Electrical
Microcontroller kit not working in Block B.,ECE
Room lock is broken in Second Floor.,Hostel
Arduino board not detected in Room 204.,ECE
Classroom is very dirty in Room 204.,Cleaning
Washroom needs cleaning in Admin Block.,Cleaning
Book issue system not working in Room 204.,Library
Water leaking from ceiling in Second Floor.,Maintenance
Plumbing problem in Lab 2.,Maintenance
Room lock is broken in Second Floor.,Hostel
Printer not working in Block B.,CSE
Washroom needs cleaning in Block B.,Cleaning
Switch board is damaged in Room 204.,Electrical
Bad smell in corridor in Admin Block.,Cleaning
Water leaking from ceiling in First Floor.,Maintenance
Book return portal not working in Room 204.,Library
Garbage not collected in Admin Block.,Cleaning
Power socket not working in First Floor.,Electrical
Signal generator issue in Lab 1.,ECE
Mess food quality is poor in First Floor.,Hostel
Book return portal not working in Room 204.,Library
Scholarship not received in Block A.,Others
Library internet not working in First Floor.,Library
General enquiry not resolved in Second Floor.,Others
Garbage not collected in Room 204.,Cleaning
No water supply in hostel in Room 204.,Hostel
Monitor display is blank in Lab 1.,CSE
Library AC not working in Lab 2.,Library
Washroom needs cleaning in Admin Block.,Cleaning
Window glass is broken in Admin Block.,Maintenance
Dustbins are overflowing in Room 204.,Cleaning
Printer not working in Lab 1.,CSE
Mouse is not responding in Room 204.,CSE
Required book is unavailable in Admin Block.,Library
Broken classroom bench in Lab 2.,Maintenance
Oscilloscope not working in Block B.,ECE
Fan not working in hostel room in Room 204.,Hostel
Washroom needs cleaning in Admin Block.,Cleaning
Keyboard not working in First Floor.,CSE
Fan is not working in Lab 1.,Electrical
Hostel WiFi not working in Room 204.,Hostel
Book issue system not working in Admin Block.,Library
Library AC not working in Block A.,Library
Floor needs mopping in Block B.,Cleaning
Room lock is broken in Lab 2.,Hostel
Fee payment portal not working in First Floor.,Others
Scholarship not received in Block B.,Others
Book issue system not working in Second Floor.,Library
Required book is unavailable in Admin Block.,Library
Fee payment portal not working in First Floor.,Others
No water supply in hostel in Block B.,Hostel
Scholarship not received in Block A.,Others
General enquiry not resolved in Admin Block.,Others
Hostel WiFi not working in Room 101.,Hostel
Wall has cracks in Second Floor.,Maintenance
Power outage in classroom in Room 101.,Electrical
Tap is leaking in Lab 1.,Maintenance
Signal generator issue in Room 204.,ECE
No water supply in hostel in Second Floor.,Hostel
Function generator faulty in Lab 2.,ECE
Keyboard not working in Second Floor.,CSE
No water supply in hostel in Lab 1.,Hostel
Insufficient seating in library in Lab 2.,Library
Website login problem in Admin Block.,Others
Tap is leaking in Block A.,Maintenance
No water supply in hostel in Lab 1.,Hostel
Required book is unavailable in Lab 1.,Library
Printer not working in Lab 1.,CSE
Bonafide certificate delayed in Admin Block.,Others
Website login problem in Room 101.,Others
Library internet not working in Second Floor.,Library
Monitor display is blank in Admin Block.,CSE
Keyboard not working in Lab 1.,CSE
Arduino board not detected in Block A.,ECE
Staircase is dusty in Lab 1.,Cleaning
Monitor display is blank in Second Floor.,CSE
Website login problem in Lab 1.,Others
Room lock is broken in Lab 1.,Hostel
Door lock is broken in Block B.,Maintenance
Computer not starting in Room 101.,CSE
Tap is leaking in Lab 1.,Maintenance
Library computer not working in Room 204.,Library
Door lock is broken in Block A.,Maintenance
Window glass is broken in Block A.,Maintenance
Plumbing problem in Room 101.,Maintenance
Digital trainer board failed in Room 204.,ECE
Bus pass issue in Room 204.,Others
Bus pass issue in Lab 2.,Others
Power socket not working in Room 204.,Electrical
Classroom is very dirty in Second Floor.,Cleaning
Loose electrical wiring in Block B.,Electrical
Campus area is dirty in First Floor.,Cleaning
Function generator faulty in Lab 2.,ECE
Printer not working in Block A.,CSE
Insufficient seating in library in Lab 2.,Library
Microcontroller kit not working in Lab 1.,ECE
Campus area is dirty in Admin Block.,Cleaning
Bathroom is dirty in First Floor.,Hostel
Loose electrical wiring in Room 101.,Electrical
Oscilloscope not working in Room 101.,ECE
Website login problem in Block B.,Others
Bad smell in corridor in Room 101.,Cleaning
Bonafide certificate delayed in Block B.,Others
Drinking water cooler not working in Admin Block.,Hostel
Internet not working in lab in Lab 2.,CSE
Hall ticket not generated in Block B.,Others
Microcontroller kit not working in Lab 1.,ECE
Fee payment portal not working in Room 101.,Others
Bathroom is dirty in Block B.,Hostel
Hall ticket not generated in Room 204.,Others
Wall has cracks in Second Floor.,Maintenance
Reading room is noisy in First Floor.,Library
Microcontroller kit not working in Lab 1.,ECE
Microcontroller kit not working in Block B.,ECE
Microcontroller kit not working in Room 204.,ECE
Plumbing problem in Second Floor.,Maintenance
Arduino board not detected in Block A.,ECE
Keyboard not working in Second Floor.,CSE
Book issue system not working in Lab 2.,Library
Classroom is very dirty in Admin Block.,Cleaning
ID card not issued in Lab 2.,Others
Drinking water cooler not working in Room 204.,Hostel
Bus pass issue in Room 101.,Others
Door lock is broken in First Floor.,Maintenance
Insufficient seating in library in Admin Block.,Library
Oscilloscope not working in Room 101.,ECE
Generator backup failed in Room 101.,Electrical
Hostel WiFi not working in Block B.,Hostel
Switch board is damaged in Block A.,Electrical
Dustbins are overflowing in Second Floor.,Cleaning
Insufficient seating in library in Lab 2.,Library
Window glass is broken in Admin Block.,Maintenance
Library AC not working in Block A.,Library
Function generator faulty in Lab 2.,ECE
Door lock is broken in Block B.,Maintenance
Washroom needs cleaning in Second Floor.,Cleaning
Oscilloscope not working in Room 101.,ECE
Computer not starting in Block A.,CSE
Fan is not working in Admin Block.,Electrical
Library AC not working in Lab 2.,Library
Window glass is broken in Lab 2.,Maintenance
Library computer not working in Room 204.,Library
Hostel room needs cleaning in Lab 2.,Hostel
Insufficient seating in library in Admin Block.,Library
Mess food quality is poor in Lab 2.,Hostel
Printer not working in Admin Block.,CSE
Signal generator issue in Second Floor.,ECE
Insufficient seating in library in Lab 2.,Library
Plumbing problem in Room 101.,Maintenance
ID card not issued in Room 101.,Others
Required book is unavailable in Second Floor.,Library
Hall ticket not generated in Room 204.,Others
Campus area is dirty in Block B.,Cleaning
Tap is leaking in Lab 2.,Maintenance
Drinking water cooler not working in Room 204.,Hostel
Fan not working in hostel room in Admin Block.,Hostel
Hostel WiFi not working in Room 204.,Hostel
Breadboard is damaged in Lab 1.,ECE
Door lock is broken in Block A.,Maintenance
Water leaking from ceiling in Second Floor.,Maintenance
Switch board is damaged in Second Floor.,Electrical
Power outage in classroom in First Floor.,Electrical
Digital trainer board failed in First Floor.,ECE
Wall has cracks in Lab 1.,Maintenance
Switch board is damaged in Block B.,Electrical
Tap is leaking in Lab 2.,Maintenance
Oscilloscope not working in First Floor.,ECE
Hostel room needs cleaning in Lab 1.,Hostel
Fan not working in hostel room in Lab 2.,Hostel
Washroom needs cleaning in Block B.,Cleaning
Scholarship not received in Second Floor.,Others
No water supply in hostel in Block B.,Hostel
Website login problem in Lab 2.,Others
Book return portal not working in Room 101.,Library
Loose electrical wiring in Room 101.,Electrical
Library AC not working in Second Floor.,Library
Plumbing problem in First Floor.,Maintenance
Floor needs mopping in Second Floor.,Cleaning
Generator backup failed in Admin Block.,Electrical
Keyboard not working in Second Floor.,CSE
Hall ticket not generated in First Floor.,Others
ID card not issued in Admin Block.,Others
Scholarship not received in Second Floor.,Others
Library internet not working in Block B.,Library
Breadboard is damaged in Lab 2.,ECE
Signal generator issue in Lab 1.,ECE
Roof seepage issue in Room 204.,Maintenance
Dustbins are overflowing in Second Floor.,Cleaning
Hall ticket not generated in Lab 2.,Others
Scholarship not received in Room 204.,Others
Classroom is very dirty in Admin Block.,Cleaning
Bus pass issue in Second Floor.,Others
Library computer not working in First Floor.,Library
Bad smell in corridor in First Floor.,Cleaning
Bad smell in corridor in Lab 2.,Cleaning
Classroom is very dirty in Second Floor.,Cleaning
Power outage in classroom in Room 204.,Electrical
Door lock is broken in Block A.,Maintenance
Power socket not working in First Floor.,Electrical
Library internet not working in Admin Block.,Library
Light is flickering in Second Floor.,Electrical
Generator backup failed in Admin Block.,Electrical
Campus area is dirty in Lab 2.,Cleaning
Website login problem in Lab 1.,Others
Classroom is very dirty in Room 204.,Cleaning
Library internet not working in Second Floor.,Library
Lab equipment is faulty in First Floor.,ECE
Bad smell in corridor in Room 101.,Cleaning
Broken classroom bench in First Floor.,Maintenance
Website login problem in Lab 1.,Others
Library computer not working in Block A.,Library
Software installation required in Block A.,CSE
Fan is not working in Admin Block.,Electrical
Plumbing problem in Admin Block.,Maintenance
Keyboard not working in Lab 1.,CSE
Hall ticket not generated in Lab 2.,Others
Tap is leaking in Lab 1.,Maintenance
Fan is not working in Lab 2.,Electrical
Fan not working in hostel room in Admin Block.,Hostel
Broken classroom bench in Second Floor.,Maintenance
Oscilloscope not working in First Floor.,ECE
Room lock is broken in Lab 2.,Hostel
Power outage in classroom in Block A.,Electrical
Printer not working in Block A.,CSE
Switch board is damaged in Block A.,Electrical
Switch board is damaged in Block A.,Electrical
Library AC not working in First Floor.,Library
Fan is not working in Lab 2.,Electrical
Classroom is very dirty in Room 204.,Cleaning
Library AC not working in Room 204.,Library
Light is flickering in Lab 1.,Electrical
Switch board is damaged in Block B.,Electrical
General enquiry not resolved in Room 204.,Others
Tube light not working in Admin Block.,Electrical
Wall has cracks in Lab 1.,Maintenance
Tap is leaking in Lab 1.,Maintenance
Bad smell in corridor in Block A.,Cleaning
Function generator faulty in Lab 2.,ECE
Bus pass issue in Lab 2.,Others
System is running very slow in Block A.,CSE
ID card not issued in Block B.,Others
Room lock is broken in Admin Block.,Hostel
Water leaking from ceiling in Room 101.,Maintenance
Fee payment portal not working in First Floor.,Others
Book return portal not working in Block A.,Library
Room lock is broken in First Floor.,Hostel
Reading room is noisy in Room 101.,Library
Hall ticket not generated in Block A.,Others
Drinking water cooler not working in Lab 2.,Hostel
Campus area is dirty in Lab 1.,Cleaning
Keyboard not working in First Floor.,CSE
Internet not working in lab in Lab 1.,CSE
Staircase is dusty in Lab 2.,Cleaning
Campus area is dirty in Room 101.,Cleaning
Classroom is very dirty in Block B.,Cleaning
Staircase is dusty in Room 204.,Cleaning
Bonafide certificate delayed in Room 204.,Others
Garbage not collected in Room 101.,Cleaning
Lab equipment is faulty in Lab 2.,ECE
Function generator faulty in Lab 1.,ECE
Breadboard is damaged in Room 101.,ECE
Computer not starting in Admin Block.,CSE
Garbage not collected in First Floor.,Cleaning
Roof seepage issue in First Floor.,Maintenance
Function generator faulty in Room 101.,ECE
Insufficient seating in library in First Floor.,Library
Library AC not working in Block B.,Library
No water supply in hostel in Room 204.,Hostel
Water leaking from ceiling in Admin Block.,Maintenance
Library AC not working in Room 204.,Library
Staircase is dusty in Admin Block.,Cleaning
Light is flickering in Second Floor.,Electrical
Fee payment portal not working in Block B.,Others
Printer not working in Lab 1.,CSE
Software installation required in Second Floor.,CSE
Bonafide certificate delayed in Block B.,Others
Library computer not working in Block A.,Library
Dustbins are overflowing in Second Floor.,Cleaning
Library internet not working in Lab 2.,Library
Mess food quality is poor in First Floor.,Hostel
Power socket not working in Lab 1.,Electrical
Staircase is dusty in Block B.,Cleaning
Door lock is broken in Lab 2.,Maintenance
System is running very slow in Lab 2.,CSE
No water supply in hostel in Lab 2.,Hostel
Website login problem in Block A.,Others
Oscilloscope not working in Second Floor.,ECE
Monitor display is blank in Block A.,CSE
Software installation required in Second Floor.,CSE
Keyboard not working in Lab 1.,CSE
Book issue system not working in Second Floor.,Library
System is running very slow in First Floor.,CSE
Room lock is broken in Admin Block.,Hostel
Arduino board not detected in Room 101.,ECE
Staircase is dusty in Room 101.,Cleaning
Lab equipment is faulty in Room 101.,ECE
Window glass is broken in Second Floor.,Maintenance
Mess food quality is poor in Second Floor.,Hostel
System is running very slow in Block B.,CSE
Power socket not working in Lab 1.,Electrical
Wall has cracks in Lab 1.,Maintenance
Light is flickering in Second Floor.,Electrical
Software installation required in First Floor.,CSE
Classroom is very dirty in Lab 1.,Cleaning
Bonafide certificate delayed in Block A.,Others
Scholarship not received in Lab 1.,Others
Dustbins are overflowing in Lab 1.,Cleaning
Fee payment portal not working in Room 101.,Others
Plumbing problem in Block B.,Maintenance
Door lock is broken in First Floor.,Maintenance
Required book is unavailable in First Floor.,Library
Microcontroller kit not working in Block B.,ECE
Fee payment portal not working in Room 101.,Others
Door lock is broken in Block A.,Maintenance
Room lock is broken in Admin Block.,Hostel
Window glass is broken in Lab 1.,Maintenance
Garbage not collected in Lab 2.,Cleaning
Hall ticket not generated in Second Floor.,Others
Floor needs mopping in Lab 1.,Cleaning
Insufficient seating in library in Lab 2.,Library
Bathroom is dirty in Admin Block.,Hostel
Book return portal not working in Second Floor.,Library
Floor needs mopping in First Floor.,Cleaning
Fan is not working in Room 101.,Electrical
Breadboard is damaged in Block B.,ECE
Digital trainer board failed in Admin Block.,ECE
Washroom needs cleaning in Lab 2.,Cleaning
Signal generator issue in Room 204.,ECE
Book issue system not working in Room 204.,Library
Bathroom is dirty in Lab 1.,Hostel
Water leaking from ceiling in Lab 1.,Maintenance
No water supply in hostel in Block A.,Hostel
Broken classroom bench in Admin Block.,Maintenance
Internet not working in lab in Room 101.,CSE
Hostel room needs cleaning in Room 101.,Hostel
Signal generator issue in Second Floor.,ECE
Plumbing problem in Room 204.,Maintenance
Computer not starting in Block B.,CSE
Reading room is noisy in Block B.,Library
Door lock is broken in Block A.,Maintenance
Keyboard not working in Lab 1.,CSE
Switch board is damaged in Block B.,Electrical
System is running very slow in Block A.,CSE
Library AC not working in Lab 2.,Library
Door lock is broken in Second Floor.,Maintenance
No water supply in hostel in First Floor.,Hostel
Loose electrical wiring in Block A.,Electrical
Keyboard not working in First Floor.,CSE
Scholarship not received in Admin Block.,Others
Internet not working in lab in Block B.,CSE
Water leaking from ceiling in Room 204.,Maintenance
Bonafide certificate delayed in First Floor.,Others
ID card not issued in Room 204.,Others
Bonafide certificate delayed in Block B.,Others
Fee payment portal not working in First Floor.,Others
Fan not working in hostel room in Block A.,Hostel
Hostel WiFi not working in Room 101.,Hostel
Monitor display is blank in Room 204.,CSE
Switch board is damaged in Block B.,Electrical
Insufficient seating in library in Room 101.,Library
Hall ticket not generated in Lab 1.,Others
Function generator faulty in Block B.,ECE
Oscilloscope not working in Block B.,ECE
Website login problem in Room 101.,Others
Campus area is dirty in Room 204.,Cleaning
Staircase is dusty in Room 101.,Cleaning
Roof seepage issue in Room 101.,Maintenance
Fan is not working in Block B.,Electrical
Plumbing problem in Block A.,Maintenance
Fee payment portal not working in Block A.,Others
Library computer not working in Lab 1.,Library
Broken classroom bench in Second Floor.,Maintenance
Light is flickering in Room 204.,Electrical
Fan not working in hostel room in Block A.,Hostel
Insufficient seating in library in Admin Block.,Library
Mess food quality is poor in Lab 2.,Hostel
Computer not starting in Lab 1.,CSE
Fan not working in hostel room in Block B.,Hostel
Washroom needs cleaning in Lab 1.,Cleaning
Staircase is dusty in Lab 1.,Cleaning
Monitor display is blank in Lab 2.,CSE
Door lock is broken in Lab 1.,Maintenance
Website login problem in Lab 1.,Others
Library AC not working in Block B.,Library
Light is flickering in Second Floor.,Electrical
Tap is leaking in Block B.,Maintenance
Website login problem in Lab 2.,Others
Required book is unavailable in Block A.,Library
Power outage in classroom in Lab 2.,Electrical
Water leaking from ceiling in Room 101.,Maintenance
Water leaking from ceiling in Block A.,Maintenance
Bonafide certificate delayed in Block A.,Others
Signal generator issue in Lab 2.,ECE
Book return portal not working in Block A.,Library
Library internet not working in Second Floor.,Library
Scholarship not received in First Floor.,Others
Fee payment portal not working in Admin Block.,Others
Internet not working in lab in Room 101.,CSE
ID card not issued in Lab 2.,Others
Generator backup failed in Lab 2.,Electrical
Mouse is not responding in Room 204.,CSE
Bathroom is dirty in Room 101.,Hostel
ID card not issued in Block B.,Others
Library computer not working in First Floor.,Library
Light is flickering in Block A.,Electrical
Power outage in classroom in Room 101.,Electrical
Monitor display is blank in Lab 2.,CSE
Reading room is noisy in Admin Block.,Library
Floor needs mopping in Block A.,Cleaning
Tap is leaking in Admin Block.,Maintenance
Classroom is very dirty in Room 101.,Cleaning
